STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,SOURCE SYSTEM,EQPT_ID
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.001,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.002,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.110.001.003,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587627,PLLKCO01.001.0001.130.001.001,BAY,RACK,,,PLLKCO01.001.0001.130.001.001.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.130.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.130.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587623,PLLKCO01.001.0001.130.001.002,BAY,RACK,,,PLLKCO01.001.0001.130.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8587619,PLLKCO01.001.0001.130.001.003,BAY,RACK,,,PLLKCO01.001.0001.130.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.130.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.130.001.004,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.130.001.004,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644627,PLLKCO01.001.0001.140.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0001.140.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00001.DCM2,IN SERVICE,21,1,12,04/03/2013 15:15,6/26/2025 22:47,23,84,15,GRANITE,2111111
CO,PALMER LAKE,PLLKCO01,8644627,PLLKCO01.001.0001.140.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0001.140.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00001.DCM1,IN SERVICE,22,2,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2771971
CO,PALMER LAKE,PLLKCO01,8644627,PLLKCO01.001.0001.140.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0001.140.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00001.BAFFLE 1,IN SERVICE,20,4,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2327548
CO,PALMER LAKE,PLLKCO01,8644627,PLLKCO01.001.0001.140.001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0001.140.001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01###.HUAWEI.OPTIX.00001.SHELF-1,IN SERVICE,20,18,12,11/17/2012 13:23,6/26/2025 22:47,23,84,15,GRANITE,2173430
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.001,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.002,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.003,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0001.140.001.004,BAY,,,,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644616,PLLKCO01.001.0002.200.001.001,BAY,RACK,,,PLLKCO01.001.0002.200.001.001.FR,IN SERVICE,,11/19/2012 17:01,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644610,PLLKCO01.001.0002.200.001.002,BAY,RACK,,,PLLKCO01.001.0002.200.001.002.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644612,PLLKCO01.001.0002.200.001.003,BAY,RACK,,,PLLKCO01.001.0002.200.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644614,PLLKCO01.001.0002.200.001.004,BAY,RACK,,,PLLKCO01.001.0002.200.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0002.200.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
