id,name,manufacturer,heightU,depth,powerWatts,color,category,Action
EQ_OSPOCP_001,001,OSPOCP,6,18,0,#3b82f6,NETWORK,Remove
EQ_OSPFDP_001,001,OSPFDP,7,10,0,#3b82f6,NETWORK,Remove
EQ_OSPOSX_001,001,OSPOSX,1,8,0,#3b82f6,NETWORK,Remove
EQ_TBDOSX_001,001,TBDOSX,7,12,0,#3b82f6,NETWORK,Remove
EQ_0004_,,0004,4,11,0,#3b82f6,NETWORK,Remove
EQ_H101_,,H101,84,24,0,#3b82f6,NETWORK,Remove
EQ_GWYOSX_001,001,GWYOSX,7,18,0,#3b82f6,NETWORK,Remove
EQ_ISPR45_001,001,ISPR45,2,2,0,#3b82f6,NETWORK,Remove
EQ_0002_230,230,0002,4,11,0,#3b82f6,NETWORK,Remove
EQ_VARIOUS_FAP,FAP,VARIOUS,1,8,0,#3b82f6,NETWORK,Remove
EQ_GWYFDP_001,001,GWYFDP,5,10,0,#3b82f6,NETWORK,Remove
EQ_TXCFDP_001,001,TXCFDP,1,8,0,#3b82f6,NETWORK,Remove
EQ_TWRC_,,TWRC,22,10,0,#3b82f6,NETWORK,Remove
