id,name,manufacturer,heightU,depth,powerWatts,color,category
"EQ_CIENA_6500","6500","CIENA",1,8,0,"#3b82f6","NETWORK"
"EQ_HUAWEI_OPTIX","OPTIX","HUAWEI",1,12,0,"#3b82f6","NETWORK"
"EQ_INFINERA_DTN_X","DTN-X","INFINERA",13,9.3,0,"#3b82f6","NETWORK"
"EQ_INFINERA_INFINERA","INFINERA","INFINERA",2,11,0,"#3b82f6","NETWORK"
"EQ_CISCO_2811","2811","CISCO",2,16.3,0,"#3b82f6","NETWORK"
"EQ_CISCO_1924","1924","CISCO",2,8,0,"#3b82f6","NETWORK"
"EQ_CISCO_2511","2511","CISCO",2,11,0,"#3b82f6","NETWORK"
"EQ_CISCO_7204","7204","CISCO",5,17,0,"#3b82f6","NETWORK"
"EQ_CANOGA_CP9101","CP9101","CANOGA",9,15,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000R7","FSP 3000R7","ADVA",3,10.65,0,"#3b82f6","NETWORK"
"EQ_ABB_BDFB","BDFB","ABB",1,8,0,"#3b82f6","NETWORK"
"EQ_EATON_AC_PNL","AC-PNL","EATON",1,8,0,"#3b82f6","NETWORK"
"EQ_JUNIPER_EX","EX","JUNIPER",2,16.4,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000RE","FSP 3000RE","ADVA",2,12,0,"#3b82f6","NETWORK"
