id,name,type,building,location,status,owner,definition,proInventoryId
"8587627","PLLKCO01.001.0001.130.001.001","RACK","0001","PLLKCO01.001.0001.130.001.001","RETAIN","Lumen","Generic Rack","8587627"
"8587623","PLLKCO01.001.0001.130.001.002","RACK","0001","PLLKCO01.001.0001.130.001.002","RETAIN","Lumen","Generic Rack","8587623"
"8587619","PLLKCO01.001.0001.130.001.003","RACK","0001","PLLKCO01.001.0001.130.001.003","RETAIN","Lumen","Generic Rack","8587619"
"8644627","PLLKCO01.001.0001.140.001.001","RACK","0001","PLLKCO01.001.0001.140.001.001","RETAIN","Lumen","Generic Rack","8644627"
"8644616","PLLKCO01.001.0002.200.001.001","RACK","0002","PLLKCO01.001.0002.200.001.001","RETAIN","Lumen","Generic Rack","8644616"
"8644610","PLLKCO01.001.0002.200.001.002","RACK","0002","PLLKCO01.001.0002.200.001.002","RETAIN","Lumen","Generic Rack","8644610"
"8644612","PLLKCO01.001.0002.200.001.003","RACK","0002","PLLKCO01.001.0002.200.001.003","RETAIN","Lumen","Generic Rack","8644612"
"8644614","PLLKCO01.001.0002.200.001.004","RACK","0002","PLLKCO01.001.0002.200.001.004","RETAIN","Lumen","Generic Rack","8644614"
"8603795","PLLKCO01.001.0002.200.002.001","RACK","0002","PLLKCO01.001.0002.200.002.001","RETAIN","Lumen","Generic Rack","8603795"
"8603804","PLLKCO01.001.0002.200.002.002","RACK","0002","PLLKCO01.001.0002.200.002.002","RETAIN","Lumen","Generic Rack","8603804"
"8613847","PLLKCO01.001.0002.200.002.003","RACK","0002","PLLKCO01.001.0002.200.002.003","RETAIN","Lumen","Generic Rack","8613847"
"8603808","PLLKCO01.001.0002.200.002.004","RACK","0002","PLLKCO01.001.0002.200.002.004","RETAIN","Lumen","Generic Rack","8603808"
"8587599","PLLKCO01.001.0002.200.003.005","RACK","0002","PLLKCO01.001.0002.200.003.005","RETAIN","Lumen","Generic Rack","8587599"
"8613845","PLLKCO01.001.0002.200.00Z.003","RACK","0002","PLLKCO01.001.0002.200.00Z.003","RETAIN","Lumen","Generic Rack","8613845"
"8587570","PLLKCO01.001.0002.210.001.001","RACK","0002","PLLKCO01.001.0002.210.001.001","RETAIN","Lumen","Generic Rack","8587570"
"8587562","PLLKCO01.001.0002.210.001.002","RACK","0002","PLLKCO01.001.0002.210.001.002","RETAIN","Lumen","Generic Rack","8587562"
"8644608","PLLKCO01.001.0002.210.001.003","RACK","0002","PLLKCO01.001.0002.210.001.003","RETAIN","Lumen","Generic Rack","8644608"
"8587566","PLLKCO01.001.0002.210.001.004","RACK","0002","PLLKCO01.001.0002.210.001.004","RETAIN","Lumen","Generic Rack","8587566"
"8644606","PLLKCO01.001.0002.210.001.005","RACK","0002","PLLKCO01.001.0002.210.001.005","RETAIN","Lumen","Generic Rack","8644606"
"8587584","PLLKCO01.001.0002.220.001.001","RACK","0002","PLLKCO01.001.0002.220.001.001","RETAIN","Lumen","Generic Rack","8587584"
"8587581","PLLKCO01.001.0002.220.001.002","RACK","0002","PLLKCO01.001.0002.220.001.002","RETAIN","Lumen","Generic Rack","8587581"
