id,name,manufacturer,heightU,depth,powerWatts,color,category
"EQ_GENERIC_OPTICAL_SPLITTER__OSPOSX_","Optical Splitter (OSPOSX)","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_OPTICAL_GATEWAY__GWYOSX_","Optical Gateway (GWYOSX)","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_FIBER_ADAPTER_PANEL","Fiber Adapter Panel","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_AC_PANEL","AC Panel","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_POWER_DIST__BDFB_","Power Dist (BDFB)","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_FIBER_DIST_PANEL","Fiber Dist Panel","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_ISPR_FRAME","ISPR Frame","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_OSP_OCP_FRAME","OSP OCP Frame","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_GENERIC_UNIDENTIFIED_DEVICE","Unidentified Device","GENERIC",1,8,0,"#3b82f6","NETWORK"
"EQ_OSPOCP_001","001","OSPOCP",6,18,0,"#3b82f6","NETWORK"
"EQ_OSPFDP_001","001","OSPFDP",7,10,0,"#3b82f6","NETWORK"
"EQ_CIENA_6500","6500","CIENA",1,8,0,"#3b82f6","NETWORK"
"EQ_OSPOSX_001","001","OSPOSX",1,8,0,"#3b82f6","NETWORK"
"EQ_TBDOSX_001","001","TBDOSX",7,12,0,"#3b82f6","NETWORK"
"EQ_HUAWEI_OPTIX","OPTIX","HUAWEI",1,12,0,"#3b82f6","NETWORK"
"EQ_INFINERA_DTN_X","DTN-X","INFINERA",13,9.3,0,"#3b82f6","NETWORK"
"EQ_0004_","","0004",4,11,0,"#3b82f6","NETWORK"
"EQ_INFINERA_INFINERA","INFINERA","INFINERA",2,11,0,"#3b82f6","NETWORK"
"EQ_H101_","","H101",84,24,0,"#3b82f6","NETWORK"
"EQ_CISCO_2811","2811","CISCO",2,16.3,0,"#3b82f6","NETWORK"
"EQ_CISCO_1924","1924","CISCO",2,8,0,"#3b82f6","NETWORK"
"EQ_CISCO_2511","2511","CISCO",2,11,0,"#3b82f6","NETWORK"
"EQ_CISCO_7204","7204","CISCO",5,17,0,"#3b82f6","NETWORK"
"EQ_CANOGA_CP9101","CP9101","CANOGA",9,15,0,"#3b82f6","NETWORK"
"EQ_GWYOSX_001","001","GWYOSX",7,18,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000R7","FSP 3000R7","ADVA",3,10.65,0,"#3b82f6","NETWORK"
"EQ_ISPR45_001","001","ISPR45",2,2,0,"#3b82f6","NETWORK"
"EQ_0002_230","230","0002",4,11,0,"#3b82f6","NETWORK"
"EQ_VARIOUS_FAP","FAP","VARIOUS",1,8,0,"#3b82f6","NETWORK"
"EQ_ABB_BDFB","BDFB","ABB",1,8,0,"#3b82f6","NETWORK"
"EQ_EATON_AC_PNL","AC-PNL","EATON",1,8,0,"#3b82f6","NETWORK"
"EQ_JUNIPER_EX","EX","JUNIPER",2,16.4,0,"#3b82f6","NETWORK"
"EQ_ADVA_FSP_3000RE","FSP 3000RE","ADVA",2,12,0,"#3b82f6","NETWORK"
"EQ_GWYFDP_001","001","GWYFDP",5,10,0,"#3b82f6","NETWORK"
"EQ_TXCFDP_001","001","TXCFDP",1,8,0,"#3b82f6","NETWORK"
"EQ_TWRC_","","TWRC",22,10,0,"#3b82f6","NETWORK"
