STATE,CO,
CITY,CASTLE ROCK,
CLLI,CSRKCOCF,
RACK ID,434375269,
BAY NAME,CSRKCOCF.001.0003..001.002,[CLLI (CSRKCOCF)] [Floor (001)] [Building/Room (0003)] [Suite (no ssuite here)] [Line Up (001)] [Bay No (002)]
BAY,BAY,
RACK,RACK,
CHASSIS,CHASSIS,
USAGE,,
FULL RACK NAME,CSRKCOCF.001.0003..001.002.FR,[CLLI (CSRKCOCF)] [Floor (001)] [Building/Room (0003)] [Suite (no ssuite here)] [Line Up (001)] [Bay No (002)] [Rack Type (FR= Full Rack]
RACK STATUS,,
RACK CREATED,,
RACK MODIFIED,7/26/2023 5:08:16 PM,
EQUIPMENT NAME,CSRKCOCF.OSPOCP.001.0003..001.002.8,"Here the equipment name is ""OSPOCP"" and the RMU ""(height"") value is 8 (to the base of the equipment)"
EQPT STATUS,IN SERVICE,
EQPT-W,19,
EQPT-H,6,
EQPT-D,18,
EQPT CREATED,6/26/2019 7:05:17 PM,
EQPT MODIFIED,7/26/2023 5:08:17 PM,
RACK-W,24,
RACK-H,84,
RACK-D,23,
EQPT_ID,21096143,
SOURCE SYSTEM,GRANITE,
,,
,,
