id,name,color
"V_UNIDENTIFIED","Unidentified","#64748b"
"V_HUAWEI","HUAWEI","#64748b"
"V_INFINERA","INFINERA","#64748b"
"V_CIENA","CIENA","#64748b"
"V_CISCO","CISCO","#64748b"
"V_ADVA","ADVA","#64748b"
"V_ABB","ABB","#64748b"
"V_JUNIPER","JUNIPER","#64748b"
"V_CANOGA","CANOGA","#64748b"
"V_EATON","EATON","#64748b"
"V_FUJITSU","FUJITSU","#64748b"
"V_NOKIA","NOKIA","#64748b"
"V_ALCATEL","ALCATEL","#64748b"
"V_LUCENT","LUCENT","#64748b"
"V_OSPOCP","OSPOCP","#64748b"
"V_OSPFDP","OSPFDP","#64748b"
"V_OSPOSX","OSPOSX","#64748b"
"V_TBDOSX","TBDOSX","#64748b"
"V_0004","0004","#64748b"
"V_H101","H101","#64748b"
"V_GWYOSX","GWYOSX","#64748b"
"V_ISPR45","ISPR45","#64748b"
"V_0002","0002","#64748b"
"V_VARIOUS","VARIOUS","#64748b"
"V_GWYFDP","GWYFDP","#64748b"
"V_TXCFDP","TXCFDP","#64748b"
"V_TWRC","TWRC","#64748b"
